durbin,"[-0.003451108932495117, 8.344650268554688e-05, 0.00015616416931152344, -0.008501291275024414, 1.5020370483398438e-05, 0.0003712177276611328, 0.023404836654663086, -0.00021958351135253906, 0.00018906593322753906, -2.0265579223632812e-05, -7.653236389160156e-05, -0.0011785030364990234, 0.0007092952728271484, -0.0046825408935546875, 0.0001285076141357422, 0.00017404556274414062, -0.00024080276489257812, 0.00010204315185546875, -0.0009360313415527344, 0.0011131763458251953, 0.0023565292358398438, -0.0002532005310058594, -0.006348609924316406, 0.02207183837890625, 0.0006067752838134766, 0.0005638599395751953, 0.0014042854309082031, -0.0006830692291259766, 0.00010323524475097656, -0.0008571147918701172, -0.0008654594421386719, -0.0003490447998046875, -0.0007684230804443359, 0.043090105056762695, 8.225440979003906e-05, 0.05564165115356445, -0.0030019283294677734, -0.0005822181701660156, 0.05598759651184082, 0.0003559589385986328, -0.0007257461547851562, -0.0005142688751220703, -0.0012850761413574219, -0.00011491775512695312, 0.003582000732421875]"
fdtd-2d,"[0.0030913352966308594, -0.043966054916381836, 0.011234045028686523, -0.03174185752868652, -0.015015363693237305, -0.03524351119995117, 0.006528139114379883, -0.021320343017578125, 0.00047850608825683594, -0.022197246551513672, -0.010279178619384766, -0.014564990997314453, 0.003126382827758789, -0.01418161392211914, -0.005813121795654297, -0.023276090621948242, 0.003985166549682617, -0.03565645217895508, 0.005951642990112305, -0.03551363945007324, -0.04520916938781738, -0.017453908920288086, 0.002582550048828125, 0.0543057918548584, -0.007886171340942383, -0.03672671318054199, -0.0005145072937011719, 0.007520914077758789, 0.0029938220977783203, -0.028915882110595703, -0.004674673080444336, -0.013074398040771484, -0.0036978721618652344, 0.06153416633605957, -0.0038678646087646484, 0.04143095016479492, 0.0012195110321044922, -0.021254777908325195, 0.0849447250366211, -0.013027191162109375, -0.0077097415924072266, -0.05042290687561035, -0.00011706352233886719, -0.012655019760131836, -0.0003056526184082031]"
floyd-warshall,"[-0.02024674415588379, -0.0012736320495605469, 3.743171691894531e-05, -8.7738037109375e-05, 0.0002052783966064453, 0.0011832714080810547, 0.021599292755126953, 0.0002799034118652344, -0.0010173320770263672, -4.7206878662109375e-05, -0.0005321502685546875, -0.0003006458282470703, 0.001463174819946289, 0.0011928081512451172, -0.00015997886657714844, -0.0009646415710449219, -4.100799560546875e-05, -0.0004734992980957031, -0.0008358955383300781, 0.0008466243743896484, 0.0027129650115966797, -2.09808349609375e-05, -0.0004515647888183594, 0.018529891967773438, -0.001672506332397461, 0.0009462833404541016, -1.3589859008789062e-05, 0.004480600357055664, 7.653236389160156e-05, -3.337860107421875e-06, -9.989738464355469e-05, -0.00010323524475097656, -0.0007894039154052734, 0.03259563446044922, -0.0010526180267333984, 0.01721978187561035, -0.0003104209899902344, -0.0001952648162841797, 0.017754316329956055, 8.20159912109375e-05, -0.00010180473327636719, -0.0005617141723632812, -0.00449061393737793, 0.0003139972686767578, 0.0003883838653564453]"
gemm,"[0.028222084045410156, -0.0007665157318115234, 0.002730131149291992, 0.034822702407836914, -0.0005376338958740234, -0.0010352134704589844, 0.050789594650268555, -0.0011589527130126953, -0.0002884864807128906, 0.03794217109680176, -0.0010814666748046875, 0.0025260448455810547, 0.011981010437011719, 0.00018024444580078125, -0.0002503395080566406, 0.03334164619445801, 0.00011110305786132812, -0.000629425048828125, 0.02797412872314453, -4.553794860839844e-05, 0.004590749740600586, 0.025168180465698242, -6.67572021484375e-05, 0.008048295974731445, 0.019397258758544922, -0.0006763935089111328, 0.00025272369384765625, 0.041913747787475586, -0.0012502670288085938, -0.00043463706970214844, 0.023845911026000977, -0.0006146430969238281, -0.0005373954772949219, 0.07814478874206543, 0.000985860824584961, 0.02591538429260254, 0.0021619796752929688, 0.0002932548522949219, 0.026410579681396484, 0.027164220809936523, -5.7220458984375e-05, -0.0003008842468261719, 0.024168968200683594, -0.00010538101196289062, -0.000400543212890625]"
gemver,"[-7.605552673339844e-05, 0.00025963783264160156, -0.0009033679962158203, 0.001916646957397461, -0.0004513263702392578, -0.0016064643859863281, 0.042283058166503906, -0.00107574462890625, 0.0004584789276123047, -0.003202199935913086, 0.0001990795135498047, 0.00186920166015625, -0.006727457046508789, 0.00016069412231445312, -0.002389192581176758, 0.003964424133300781, 0.0009725093841552734, 0.0006186962127685547, -0.0051136016845703125, -0.0002663135528564453, -0.01967787742614746, -0.01905679702758789, -0.001577138900756836, 0.02823662757873535, 0.002861499786376953, -0.006014585494995117, -0.0001513957977294922, 0.014241933822631836, 0.0018165111541748047, -0.009266376495361328, 0.0016818046569824219, -0.001995563507080078, -0.0026175975799560547, 0.07568836212158203, -0.00057220458984375, 0.056455135345458984, 0.0004379749298095703, 0.006714582443237305, 0.047154903411865234, -0.00019168853759765625, 0.009759664535522461, 0.0034677982330322266, 0.004624843597412109, -0.0004134178161621094, -0.0030035972595214844]"
gesummv,"[0.0003998279571533203, 0.0011799335479736328, -0.034194231033325195, 0.0031905174255371094, 0.006026744842529297, 0.025575637817382812, 0.043198347091674805, -0.025721311569213867, 0.005956411361694336, 0.0003287792205810547, 0.025088787078857422, -0.0008268356323242188, -0.007503032684326172, -0.00015854835510253906, 0.006188392639160156, -0.0009353160858154297, -0.03283524513244629, -0.005763530731201172, -0.00032401084899902344, 0.00014352798461914062, 0.003976345062255859, 0.029828786849975586, -0.0008840560913085938, 0.0037872791290283203, -0.006188392639160156, 0.010775089263916016, 0.027546167373657227, 0.011125802993774414, -0.03393840789794922, -0.00019049644470214844, 0.0027430057525634766, 0.016042232513427734, -0.0004496574401855469, 0.038463592529296875, -0.006072044372558594, 0.0546722412109375, 0.028086185455322266, 0.006188392639160156, 0.008626461029052734, -0.003412008285522461, -0.0006864070892333984, -0.0012090206146240234, 3.314018249511719e-05, 0.006012439727783203, -0.0061893463134765625]"
gramschmidt,"[-0.0001685619354248047, -8.130073547363281e-05, -0.0003094673156738281, 0.022463321685791016, -0.0006763935089111328, 0.0008568763732910156, -0.03762984275817871, -7.319450378417969e-05, 0.0009481906890869141, 0.0003368854522705078, 0.022671937942504883, 0.00013780593872070312, 0.001519918441772461, -0.015123128890991211, 9.202957153320312e-05, -0.0009517669677734375, 0.00017213821411132812, 0.026743173599243164, -0.0010552406311035156, 0.0020172595977783203, -0.04609036445617676, -1.3589859008789062e-05, -0.001567840576171875, 0.006144046783447266, 0.021970748901367188, 0.0010259151458740234, 0.0003364086151123047, -0.01758122444152832, 2.1457672119140625e-05, -0.0005140304565429688, -0.0004074573516845703, 0.03169131278991699, -9.703636169433594e-05, 0.017017364501953125, -0.015191078186035156, 0.014170646667480469, -0.0014421939849853516, -0.0001342296600341797, 0.03610515594482422, 0.0013849735260009766, 0.0010097026824951172, -0.02879166603088379, 0.0006225109100341797, 0.00041794776916503906, -0.0004208087921142578]"
heat-3d,"[-0.0003027915954589844, 5.91278076171875e-05, 0.019466161727905273, -0.003038167953491211, -0.035103559494018555, 6.604194641113281e-05, 0.06323838233947754, 0.020450353622436523, 0.0024526119232177734, -0.04270052909851074, 0.003061532974243164, 0.0021941661834716797, 0.02347421646118164, -0.0005154609680175781, -0.019440412521362305, 0.0002410411834716797, 0.0034689903259277344, 0.03180360794067383, -0.002419710159301758, -0.04457211494445801, -0.005738258361816406, 0.0035581588745117188, 0.03354382514953613, 0.08490180969238281, -0.01910400390625, 0.002622365951538086, 0.005872488021850586, 0.0626220703125, 0.0022618770599365234, -0.017039060592651367, -0.004983663558959961, -9.989738464355469e-05, 0.03670668601989746, 0.07837414741516113, -0.028614521026611328, 0.04608511924743652, -0.00017404556274414062, 0.03910374641418457, 0.04600167274475098, -0.026976585388183594, -0.002025604248046875, -0.0008769035339355469, 0.024300098419189453, -3.814697265625e-06, -0.037732839584350586]"
jacobi-1d,"[-0.00033283233642578125, -0.002901792526245117, -9.918212890625e-05, -0.00014328956604003906, -3.814697265625e-06, -0.0004851818084716797, 0.014949560165405273, -0.000942230224609375, -5.698204040527344e-05, -9.512901306152344e-05, -0.000453948974609375, -0.0008802413940429688, -0.0004935264587402344, -0.0007121562957763672, -0.00023317337036132812, 0.003236055374145508, -0.0002593994140625, -0.0003814697265625, -0.00014972686767578125, 0.0005397796630859375, 0.0003750324249267578, -0.0004513263702392578, -0.00022792816162109375, 0.018978118896484375, -0.0011668205261230469, -0.0007379055023193359, 4.506111145019531e-05, 0.0009839534759521484, -0.0005900859832763672, -0.029540300369262695, -7.128715515136719e-05, -0.0035429000854492188, 0.0001919269561767578, 0.017002344131469727, 0.0007250308990478516, 0.016520261764526367, 0.01819586753845215, 0.00044846534729003906, 0.0165865421295166, -0.017814159393310547, 0.0003457069396972656, -0.000164031982421875, -0.0008571147918701172, 0.00035953521728515625, -0.00018358230590820312]"
jacobi-2d,"[-0.006060600280761719, 0.0052678585052490234, -0.004975795745849609, 0.043450117111206055, -0.016031980514526367, -0.0047609806060791016, 0.046250343322753906, -7.3909759521484375e-06, 0.0007212162017822266, 0.03783750534057617, 0.0015676021575927734, 0.005182743072509766, 0.04618430137634277, 0.007198810577392578, -0.0014531612396240234, 0.022068023681640625, -0.004987478256225586, 0.0033042430877685547, 0.028900861740112305, 0.006104230880737305, -0.0009565353393554688, 0.027686357498168945, -0.0007293224334716797, 0.026180267333984375, 0.03901410102844238, 0.0005602836608886719, 0.006758689880371094, 0.05808424949645996, -0.0009188652038574219, 0.0013082027435302734, 0.02863931655883789, -8.249282836914062e-05, 4.839897155761719e-05, 0.06864738464355469, -0.002434253692626953, 0.023230552673339844, 0.0009703636169433594, 0.005738258361816406, 0.023624897003173828, 0.0015673637390136719, -0.01462864875793457, 0.004370927810668945, 0.0074579715728759766, -0.0014514923095703125, -0.00013303756713867188]"
