shootout-base64,"[0.0071260929107666016, 0.0032625198364257812, 0.006713390350341797, 0.006380558013916016, -0.010471343994140625, -0.029558420181274414, -0.17966604232788086, -0.00017142295837402344, 0.004334688186645508, -0.01024007797241211, -0.3040921688079834, -0.008083820343017578, -0.0020220279693603516, -0.0071485042572021484, -0.006836891174316406, -0.18860077857971191, -0.01126718521118164, -0.013082265853881836, -0.004403114318847656, 2.384185791015625e-06, -0.01434779167175293, -0.5827591419219971, -0.46184706687927246, -0.36177992820739746, -0.007950305938720703, -0.01694655418395996, 0.0011115074157714844, -0.0020339488983154297, -0.25191164016723633, -0.06185460090637207, 0.005633115768432617, -0.0015604496002197266, -0.0014529228210449219, -0.011496543884277344, -0.582599401473999, -0.3156592845916748, -0.017948389053344727, -0.005843639373779297, -0.009155750274658203, -0.5233166217803955, -0.20204806327819824, -0.029457807540893555, -0.03456425666809082, -0.4510223865509033, -0.007033824920654297]"
shootout-ctype,"[0.020082712173461914, -0.27013611793518066, 0.006788492202758789, 0.011466503143310547, 0.003106355667114258, 0.013089418411254883, -0.02611398696899414, 0.01041102409362793, 0.012152433395385742, 0.08438682556152344, 0.0695352554321289, -0.007297992706298828, -0.5044519901275635, -0.46578097343444824, -0.050507307052612305, -0.060807228088378906, -0.007168769836425781, -0.33860182762145996, -0.031523942947387695, -0.00963735580444336, 0.020378828048706055, -0.05469536781311035, -0.2629737854003906, 0.006341695785522461, -0.008264780044555664, 0.00287628173828125, -0.0212860107421875, 0.015126943588256836, 0.03704833984375, 0.019763946533203125, 0.022992849349975586, 0.010758399963378906, -0.3681058883666992, -0.0427091121673584, 0.01992058753967285, -0.04217076301574707, -0.18054509162902832, 0.02317976951599121, 0.019589662551879883, 0.016396045684814453, -0.02343463897705078, -0.2692067623138428, 0.010970115661621094, 0.0063936710357666016, 0.029912948608398438]"
shootout-fib2,"[-0.17970919609069824, 0.12777924537658691, 0.1108541488647461, 0.1200408935546875, 0.11847591400146484, -0.15749740600585938, -0.3011503219604492, -0.1682112216949463, 0.08104372024536133, 0.11192154884338379, -0.269153356552124, 0.09643697738647461, 0.12829875946044922, 0.1107642650604248, 0.12417054176330566, 0.10249018669128418, -0.23754262924194336, 0.09494853019714355, 0.12009310722351074, 0.11642670631408691, 0.11856722831726074, -0.13723087310791016, 0.028323888778686523, 0.07666444778442383, 0.10798883438110352, 0.11584210395812988, 0.09667015075683594, 0.08826684951782227, 0.06718301773071289, -0.1929008960723877, 0.06182074546813965, 0.10455703735351562, 0.11857295036315918, -0.05150604248046875, -0.16524195671081543, 0.08423137664794922, 0.12282705307006836, 0.12011361122131348, 0.10386967658996582, -0.05212259292602539, 0.11191534996032715, 0.10430526733398438, 0.0971977710723877, 0.10345220565795898, 0.07173395156860352]"
shootout-gimli,"[0.03212618827819824, 0.028586387634277344, -0.015337705612182617, 0.028336286544799805, -0.0077664852142333984, -0.29683399200439453, -0.1532588005065918, -0.00775909423828125, 0.008973836898803711, 0.0007576942443847656, -0.27763986587524414, -0.0025501251220703125, 0.019502639770507812, 0.016733646392822266, 0.02263808250427246, -0.06629252433776855, -0.2927072048187256, 0.01671433448791504, 0.002090930938720703, 0.012140512466430664, -0.025385141372680664, 0.005221366882324219, -0.4159390926361084, 0.003964424133300781, 0.020566225051879883, 0.002571582794189453, -0.15240120887756348, 0.013180017471313477, 0.04625248908996582, 0.03000807762145996, -0.007333040237426758, -0.011318206787109375, -0.46123433113098145, 0.029163360595703125, 0.019402742385864258, 0.024538755416870117, -0.12819385528564453, 0.02444171905517578, 0.023444652557373047, 0.02789592742919922, -0.20139122009277344, -0.008643150329589844, 0.021257877349853516, 0.015655994415283203, 0.0001800060272216797]"
shootout-matrix,"[-0.03328418731689453, 0.11026358604431152, -0.2189626693725586, -0.17810893058776855, 0.09470081329345703, -0.34693336486816406, 0.09913182258605957, 0.11465907096862793, 0.1048576831817627, 0.11561346054077148, 0.05711650848388672, -0.1303400993347168, 0.0996389389038086, 0.11366653442382812, 0.11187267303466797, -0.3023359775543213, 0.07148528099060059, 0.10779380798339844, 0.11185789108276367, 0.11937785148620605, 0.1019744873046875, 0.07956981658935547, -0.4571657180786133, -0.09151363372802734, 0.0941314697265625, -0.18765997886657715, -0.11789059638977051, 0.12129521369934082, 0.12490534782409668, 0.10255837440490723, 0.11940574645996094, 0.10525679588317871, 0.11838841438293457, -0.3232767581939697, 0.10373950004577637, 0.11111235618591309, 0.1174459457397461, 0.0801546573638916, -0.07077503204345703, 0.10434079170227051, 0.10734009742736816, 0.12020707130432129, 0.09145855903625488, -0.2812206745147705, 0.10462141036987305]"
shootout-memmove,"[0.003607511520385742, -0.02164435386657715, -0.0056879520416259766, -0.2701904773712158, -0.09591507911682129, -0.028584003448486328, -0.02028059959411621, -0.23757266998291016, -0.016000747680664062, -0.011482477188110352, -0.011360883712768555, 0.0003190040588378906, -0.018776416778564453, -0.03119373321533203, -0.4501760005950928, -0.3435323238372803, -0.04279065132141113, -6.914138793945312e-05, -0.4077913761138916, -0.023625850677490234, -0.0053179264068603516, 0.0005693435668945312, 0.007055044174194336, -0.014318227767944336, -0.040557861328125, -0.3333566188812256, -0.02896714210510254, -0.016112804412841797, 0.005469799041748047, -0.20365571975708008, -0.002502918243408203, -0.021561384201049805, -0.0034906864166259766, -0.01133108139038086, -0.13472414016723633, -0.0008561611175537109, -0.43761730194091797, -0.17954063415527344, 0.0030183792114257812, 0.0003590583801269531, -0.041817665100097656, -0.3489241600036621, -0.058815956115722656, 0.002815723419189453, -0.0042650699615478516]"
shootout-random,"[0.31021761894226074, 0.3200225830078125, 0.316439151763916, 0.3206932544708252, 0.17540264129638672, 0.3115510940551758, 0.32110142707824707, 0.30245518684387207, 0.32489705085754395, 0.24032187461853027, 0.27274489402770996, -0.1335465908050537, 0.029503583908081055, 0.17362213134765625, 0.3154466152191162, 0.09794330596923828, 0.16428732872009277, 0.3194239139556885, 0.28518152236938477, 0.30530452728271484, 0.14272379875183105, 0.3219728469848633, 0.3237302303314209, 0.3189687728881836, 0.31652164459228516, 0.30936622619628906, 0.2973921298980713, 0.29381871223449707, -0.10185647010803223, 0.05009174346923828, 0.20205259323120117, 0.0912933349609375, 0.3215351104736328, 0.3245663642883301, 0.3212320804595947, 0.31364941596984863, 0.14881539344787598, 0.3171994686126709, 0.30904388427734375, 0.3135867118835449, 0.31963324546813965, 0.3082127571105957, 0.3129386901855469, -0.190901517868042, -0.02498173713684082]"
